特殊 Token 列表:
Token: [CLS], ID: 101
Token: [Easr], ID: 21130
Token: [Ebreak], ID: 21136
Token: [Etts], ID: 21133
Token: [MASK], ID: 103
Token: [PAD], ID: 0
Token: [Pasr], ID: 21129
Token: [Pbreak], ID: 21135
Token: [Ptts], ID: 21132
Token: [SEP], ID: 102
Token: [Sasr], ID: 21128
Token: [Sbreak], ID: 21134
Token: [Stts], ID: 21131
Token: [UNK], ID: 100
Token: [break_0], ID: 21147
Token: [break_1], ID: 21148
Token: [break_2], ID: 21149
Token: [break_3], ID: 21150
Token: [break_4], ID: 21151
Token: [break_5], ID: 21152
Token: [break_6], ID: 21153
Token: [break_7], ID: 21154
Token: [empty_spk], ID: 21144
Token: [laugh], ID: 21142
Token: [laugh_0], ID: 21155
Token: [laugh_1], ID: 21156
Token: [laugh_2], ID: 21157
Token: [lbreak], ID: 21139
Token: [llbreak], ID: 21140
Token: [music], ID: 21145
Token: [oral_0], ID: 21158
Token: [oral_1], ID: 21159
Token: [oral_2], ID: 21160
Token: [oral_3], ID: 21161
Token: [oral_4], ID: 21162
Token: [oral_5], ID: 21163
Token: [oral_6], ID: 21164
Token: [oral_7], ID: 21165
Token: [oral_8], ID: 21166
Token: [oral_9], ID: 21167
Token: [pure], ID: 21146
Token: [speed_0], ID: 21168
Token: [speed_1], ID: 21169
Token: [speed_2], ID: 21170
Token: [speed_3], ID: 21171
Token: [speed_4], ID: 21172
Token: [speed_5], ID: 21173
Token: [speed_6], ID: 21174
Token: [speed_7], ID: 21175
Token: [speed_8], ID: 21176
Token: [speed_9], ID: 21177
Token: [spk_emb], ID: 21143
Token: [undefine], ID: 21141
Token: [unused10], ID: 10
Token: [unused11], ID: 11
Token: [unused12], ID: 12
Token: [unused13], ID: 13
Token: [unused14], ID: 14
Token: [unused15], ID: 15
Token: [unused16], ID: 16
Token: [unused17], ID: 17
Token: [unused18], ID: 18
Token: [unused19], ID: 19
Token: [unused1], ID: 1
Token: [unused20], ID: 20
Token: [unused21], ID: 21
Token: [unused22], ID: 22
Token: [unused23], ID: 23
Token: [unused24], ID: 24
Token: [unused25], ID: 25
Token: [unused26], ID: 26
Token: [unused27], ID: 27
Token: [unused28], ID: 28
Token: [unused29], ID: 29
Token: [unused2], ID: 2
Token: [unused30], ID: 30
Token: [unused31], ID: 31
Token: [unused32], ID: 32
Token: [unused33], ID: 33
Token: [unused34], ID: 34
Token: [unused35], ID: 35
Token: [unused36], ID: 36
Token: [unused37], ID: 37
Token: [unused38], ID: 38
Token: [unused39], ID: 39
Token: [unused3], ID: 3
Token: [unused40], ID: 40
Token: [unused41], ID: 41
Token: [unused42], ID: 42
Token: [unused43], ID: 43
Token: [unused44], ID: 44
Token: [unused45], ID: 45
Token: [unused46], ID: 46
Token: [unused47], ID: 47
Token: [unused48], ID: 48
Token: [unused49], ID: 49
Token: [unused4], ID: 4
Token: [unused50], ID: 50
Token: [unused51], ID: 51
Token: [unused52], ID: 52
Token: [unused53], ID: 53
Token: [unused54], ID: 54
Token: [unused55], ID: 55
Token: [unused56], ID: 56
Token: [unused57], ID: 57
Token: [unused58], ID: 58
Token: [unused59], ID: 59
Token: [unused5], ID: 5
Token: [unused60], ID: 60
Token: [unused61], ID: 61
Token: [unused62], ID: 62
Token: [unused63], ID: 63
Token: [unused64], ID: 64
Token: [unused65], ID: 65
Token: [unused66], ID: 66
Token: [unused67], ID: 67
Token: [unused68], ID: 68
Token: [unused69], ID: 69
Token: [unused6], ID: 6
Token: [unused70], ID: 70
Token: [unused71], ID: 71
Token: [unused72], ID: 72
Token: [unused73], ID: 73
Token: [unused74], ID: 74
Token: [unused75], ID: 75
Token: [unused76], ID: 76
Token: [unused77], ID: 77
Token: [unused78], ID: 78
Token: [unused79], ID: 79
Token: [unused7], ID: 7
Token: [unused80], ID: 80
Token: [unused81], ID: 81
Token: [unused82], ID: 82
Token: [unused83], ID: 83
Token: [unused84], ID: 84
Token: [unused85], ID: 85
Token: [unused86], ID: 86
Token: [unused87], ID: 87
Token: [unused88], ID: 88
Token: [unused89], ID: 89
Token: [unused8], ID: 8
Token: [unused90], ID: 90
Token: [unused91], ID: 91
Token: [unused92], ID: 92
Token: [unused93], ID: 93
Token: [unused94], ID: 94
Token: [unused95], ID: 95
Token: [unused96], ID: 96
Token: [unused97], ID: 97
Token: [unused98], ID: 98
Token: [unused99], ID: 99
Token: [unused9], ID: 9
Token: [uv_break], ID: 21137
Token: [v_break], ID: 21138
